CATEGORY_KEY,CATEGORY,DESCRIPTION,
SM1,SM,InternalCase-Reactive,
SM2,SM,InternalCase-Proactive,
SM3,SM,Inventory-Proactive,
SM4,SM,Quarterly-Review,
SM5,SM,Customer-Advocacy,
SM6,SM,Support-Customer-Proactive,
SM7,SM,Support-Advocacy,
RE1,RE,OnSite-Reactive,
RE2,RE,OnSite-Proactive,
CFTS1,CFTS,Call-Routing,
CFTS2,CFTS,Proactive-Maintenance,
ASCE1,ASCE,PR-PBN-SIRT-Review,
ASCE2,ASCE,Eol-Review,
SERVNOW1,SERVNOW,Implementation-Reactive,
SERVNOW2,SERVNOW,Implementation-Proactive,
